path	vi	de
strings.js::research_optin	Góp dữ liệu ẩn danh cho nghiên cứu: điểm ghé, thứ tự trong lượt thăm, vị trí thô. Không tên, không số máy, không nối giữa các lần dùng. Tắt được tại đây.	Anonyme Daten für die Forschung: besuchte Orte, ihre Reihenfolge im Rundgang, grober Standort. Kein Name, keine Nummer, keine Verknüpfung zwischen zwei Besuchen. Hier jederzeit abschaltbar.
strings.js::study_note	Dữ liệu giúp ban tổ chức xem mật độ tại các điểm đến.	Damit sehen die Veranstalter, wie voll die einzelnen Orte sind.
strings.js::prev_site	Điểm trước	Voriger Ort
strings.js::next_site	Điểm sau	Nächster Ort
strings.js::booth_find	Quầy vé gần nhất	Nächste Ticketstelle
strings.js::flag_warn	Sổ tay có dấu hiệu bất thường. Xác nhận lại trước khi phát voucher.	Dieses Notizbuch zeigt Auffälligkeiten. Vor der Gutscheinausgabe prüfen.
strings.js::points	điểm	Punkte
strings.js::perfect_bonus	Đúng lần đầu	Gleich richtig
strings.js::spotlight	Đề xuất	Empfohlen
strings.js::rewards_title	Điểm & Quà	Punkte & Geschenke
strings.js::pp_more	Cài đặt	Einstellungen
strings.js::reward_taken	Đã nhận	Abgeholt
strings.js::one_gift_note	Mỗi sổ tay nhận 1 phần quà.	Ein Geschenk pro Notizbuch.
strings.js::score_how	Cách tính điểm	So zählen die Punkte
strings.js::pt_stamp	khi check-in	pro Einchecken
strings.js::pt_perfect	trả lời đúng ngay lần đầu	gleich richtig geantwortet
strings.js::pt_spotlight	ghé điểm vắng khách	einen ruhigen Ort besucht
strings.js::pt_tour	hoàn thành tuyến	Route abgeschlossen
strings.js::backup_title	Sao lưu	Sicherung
strings.js::backup_hint	Lưu mã bên dưới để khôi phục tem khi đổi thiết bị.	Bewahren Sie diesen Code auf, um Ihre Stempel auf einem anderen Gerät wiederzufinden.
strings.js::copy	Sao chép	Kopieren
strings.js::copied	Đã sao chép	Kopiert
strings.js::copy_link	Sao chép link	Link kopieren
strings.js::restore	Khôi phục	Wiederherstellen
strings.js::restore_or_code	Nhập mã 8 ký tự:	8-stelligen Code eingeben:
strings.js::ticket_taken	Vé đã quét ở thiết bị khác. Quét lại để lấy dữ liệu.	Dieses Ticket wurde auf einem anderen Gerät gescannt. Erneut scannen, um die Daten zu holen.
strings.js::restore_ok	Đã khôi phục.	Wiederhergestellt.
strings.js::restore_bad	Mã phải có 8 ký tự.	Der Code muss 8 Zeichen haben.
strings.js::restore_offline	Lỗi mạng. Thử lại sau.	Netzwerkfehler. Später erneut versuchen.
strings.js::offline_ok	Vẫn có thể check-in offline. Ứng dụng sẽ đồng bộ khi có mạng.	Einchecken geht auch offline; die App synchronisiert, sobald Netz da ist.
strings.js::ticket_points	Điểm bán vé	Ticketstellen
strings.js::popup_detail	Xem & check-in	Ansehen & einchecken
strings.js::dont_miss	Đừng bỏ lỡ	Nicht verpassen
strings.js::open_now	Đang mở	Geöffnet
strings.js::closed_now	Đã đóng	Geschlossen
strings.js::nav_arrived_at()	Đã đến {name}	Angekommen: ${name}
strings.js::nav_to()	{dist} tới {name}	${dist} bis ${name}
strings.js::question_of()	Câu {i}/{n}	Frage ${i}/${n}
strings.js::stops()	{n} điểm dừng	${n} Stationen
strings.js::walk_time()	{m} phút đi bộ	${m} Min. zu Fuß
strings.js::route_walk()	{d} · {m} phút đi bộ	${d} · ${m} Min. zu Fuß
strings.js::list_more()	Xem thêm {n} điểm	${n} weitere Orte
strings.js::tk_sites()	Vé {n} điểm	Ticket für ${n} Orte
strings.js::wrong_wait()	Sai. Thử lại sau {n}s.	Falsch. In ${n} s erneut versuchen.
strings.js::booth_nearest()	Quầy {name} · cách {d}	Ticketstelle ${name} · ${d}
strings.js::earned()	+{n} điểm	+${n} Punkte
strings.js::spotlight_hint()	Check-in tại đây nhận +{n} điểm.	Hier einchecken: +${n} Punkte.
strings.js::pts_more()	Cần thêm {n} điểm	Noch ${n} Punkte
strings.js::reward_at()	Mốc {n} điểm	Stufe ${n} Punkte
strings.js::pt_all()	check-in đủ {n} điểm	alle ${n} Orte einchecken
strings.js::walk()	{d} · {m} phút đi bộ	${d} · ${m} Min. zu Fuß
strings.js::closing_soon()	Đóng trong {m} phút	Schließt in ${m} Min.
strings.js::opens_at()	Mở lúc {t}	Öffnet um ${t}
